1680307200000,28465.36000000,28819.71000000,28408.57000000,28541.10000000,7594.11361000,1680321599999,216982128.05044790,199112,3839.33977000,109726172.74187000,0
1680321600000,28541.10000000,28625.10000000,28351.35000000,28424.99000000,5673.20621000,1680335999999,161594292.29943790,137666,2786.44013000,79370298.00197780,0
1680336000000,28424.98000000,28485.11000000,28360.65000000,28372.85000000,4134.10870000,1680350399999,117547137.07497790,115817,2152.68899000,61210039.86942060,0
1680350400000,28372.84000000,28473.90000000,28220.27000000,28400.07000000,5187.63015000,1680364799999,147153281.99501050,143941,2654.29061000,75309248.32693100,0
1680364800000,28400.07000000,28443.04000000,28280.00000000,28381.98000000,3397.25326000,1680379199999,96379413.93322790,108759,1621.06172000,45990490.77056140,0
1680379200000,28381.97000000,28577.00000000,28379.63000000,28452.73000000,4252.13560000,1680393599999,121147984.09916680,117486,2117.55616000,60325317.77198730,0
1680393600000,28452.74000000,28530.00000000,28355.00000000,28476.59000000,3671.10292000,1680407999999,104383440.41159390,107926,1789.00431000,50867378.62741460,0
1680408000000,28476.58000000,28490.40000000,28381.54000000,28416.38000000,2774.33739000,1680422399999,78910041.12032210,85524,1280.00645000,36407068.71772450,0
1680422400000,28416.37000000,28450.90000000,28306.80000000,28357.93000000,3482.11028000,1680436799999,98829407.55686280,106511,1701.68388000,48300162.58270900,0
1680436800000,28357.93000000,28361.00000000,28037.59000000,28124.81000000,10410.79993000,1680451199999,293651041.50829740,247983,4984.63740000,140592959.51953590,0
1680451200000,28124.80000000,28229.90000000,27856.43000000,27943.85000000,9548.76463000,1680465599999,268163596.01815570,213771,4464.33932000,125378441.05617780,0
1680465600000,27943.84000000,28203.35000000,27858.29000000,28171.87000000,7478.54177000,1680479999999,209663406.45244860,176749,3677.34703000,103101257.58280250,0
1680480000000,28171.87000000,28182.17000000,27560.00000000,27753.85000000,11150.24369000,1680494399999,309827125.35851240,239807,5731.05532000,159215138.49977220,0
1680494400000,27753.85000000,27962.90000000,27588.00000000,27958.74000000,7740.46106000,1680508799999,214863821.49743280,176363,3957.39339000,109877716.02100110,0
1680508800000,27958.73000000,28500.99000000,27958.73000000,28253.73000000,16752.02691000,1680523199999,474177320.10287770,303991,8910.27492000,252191819.35198920,0
1680523200000,28253.73000000,28375.00000000,27945.19000000,28051.48000000,12843.96705000,1680537599999,361398934.79929210,269796,6532.88114000,183854391.33907870,0
1680537600000,28051.48000000,28238.53000000,27875.00000000,28081.08000000,10815.36454000,1680551999999,303545254.28737040,264830,5605.34033000,157340363.55724360,0
1680552000000,28081.08000000,28093.56000000,27200.24000000,27800.00000000,19877.95080000,1680566399999,550548592.73688140,396275,9797.87498000,271386335.32254400,0
1680566400000,27800.00000000,27965.00000000,27662.79000000,27855.06000000,7378.74569000,1680580799999,205275559.67046290,167625,3769.42754000,104864834.86572980,0
1680580800000,27855.06000000,28145.00000000,27775.37000000,28021.30000000,7401.39758000,1680595199999,207053975.81939400,164335,3876.17243000,108434855.14707800,0
1680595200000,28021.31000000,28444.44000000,27931.20000000,28289.52000000,11327.61021000,1680609599999,319731005.13004720,243495,5834.91538000,164732279.09764640,0
1680609600000,28289.51000000,28399.00000000,27947.59000000,28030.04000000,11827.84541000,1680623999999,333201190.11951280,257122,5639.30550000,158886966.01679720,0
1680624000000,28030.05000000,28260.00000000,27971.07000000,28189.25000000,6969.29766000,1680638399999,196001963.96787500,148848,3592.07129000,101022516.78274940,0
1680638400000,28189.25000000,28305.00000000,28078.63000000,28165.47000000,4817.66036000,1680652799999,135877770.16774420,120582,2372.06020000,66903950.50914010,0
1680652800000,28165.47000000,28775.00000000,28099.68000000,28544.72000000,14845.01269000,1680667199999,423618752.99337750,288736,7833.16555000,223524374.76303820,0
1680667200000,28544.73000000,28624.35000000,28455.00000000,28525.21000000,5559.92922000,1680681599999,158665950.89910920,125501,2775.44554000,79205522.52249860,0
1680681600000,28525.20000000,28600.00000000,28450.50000000,28554.38000000,5619.64940000,1680695999999,160312618.87255290,125324,2617.89898000,74683339.99990480,0
1680696000000,28554.37000000,28750.00000000,27860.00000000,28031.09000000,19633.38200000,1680710399999,555141194.29624740,389523,9687.33303000,273931210.51682140,0
1680710400000,28031.09000000,28308.04000000,27805.10000000,28240.64000000,11011.74625000,1680724799999,308690916.67418010,225348,5595.98115000,156922833.68554840,0
1680724800000,28240.64000000,28300.00000000,28132.16000000,28170.01000000,4067.92776000,1680739199999,114669105.33058960,108298,2047.06247000,57703808.68265680,0
1680739200000,28170.01000000,28182.05000000,27878.60000000,28128.42000000,6441.25347000,1680753599999,180559668.51362800,176628,2996.97917000,84015131.75533210,0
1680753600000,28128.42000000,28130.00000000,27907.77000000,27910.97000000,4898.59822000,1680767999999,137311145.18665700,120212,2217.51512000,62162539.97617500,0
1680768000000,27910.97000000,28028.60000000,27711.00000000,27945.52000000,8497.72048000,1680782399999,236988701.27556620,192229,3998.95418000,111533292.25251200,0
1680782400000,27945.51000000,28181.05000000,27750.00000000,28090.39000000,10932.58337000,1680796799999,305721842.94894250,213812,5509.28981000,154087037.42263980,0
1680796800000,28090.39000000,28165.88000000,27950.90000000,28017.77000000,5293.83638000,1680811199999,148536619.05231990,123959,2540.74815000,71293807.93198950,0
1680811200000,28017.77000000,28121.87000000,27900.00000000,28033.82000000,4054.95771000,1680825599999,113595110.57906900,107708,2045.15726000,57292451.51815160,0
1680825600000,28033.83000000,28100.00000000,27926.52000000,28038.66000000,3144.63896000,1680839999999,88146347.05107110,101113,1567.05756000,43923145.54782160,0
1680840000000,28038.67000000,28062.73000000,27766.94000000,27839.78000000,4967.42754000,1680854399999,138730068.84507290,135123,2275.36309000,63546583.57090150,0
1680854400000,27839.79000000,27961.67000000,27785.00000000,27840.90000000,5563.52260000,1680868799999,155095357.59993240,121265,2580.84279000,71955432.12796680,0
1680868800000,27840.89000000,27984.75000000,27800.00000000,27944.10000000,5761.76975000,1680883199999,160762132.74279430,140484,3040.89130000,84844387.45361220,0
1680883200000,27944.09000000,27953.47000000,27856.00000000,27897.52000000,2550.36482000,1680897599999,71164211.21731160,76639,1179.65615000,32915717.63546590,0
1680897600000,27897.51000000,27980.74000000,27839.02000000,27906.33000000,2774.37020000,1680911999999,77425631.47245900,81010,1339.32278000,37374212.13451390,0
1680912000000,27906.34000000,28059.39000000,27859.02000000,28023.39000000,3614.73585000,1680926399999,100996661.81377850,103217,1960.08128000,54765613.87721710,0
1680926400000,28023.39000000,28154.99000000,27974.14000000,28086.22000000,4034.10068000,1680940799999,113281145.02437380,103536,2156.60256000,60566347.91146060,0
1680940800000,28086.22000000,28114.94000000,27990.57000000,28016.09000000,2664.16144000,1680955199999,74715497.07113550,79955,1224.66290000,34342849.68144560,0
1680955200000,28016.09000000,28057.00000000,27950.00000000,28014.70000000,3002.75065000,1680969599999,84103537.29447180,105759,1438.13001000,40281121.98830060,0
1680969600000,28014.71000000,28020.00000000,27872.11000000,27924.13000000,3619.71605000,1680983999999,101150959.54763030,119177,1695.57762000,47378695.97746510,0
1680984000000,27924.13000000,27987.41000000,27885.86000000,27938.38000000,2544.50268000,1680998399999,71076717.93468550,112515,1254.18777000,35032049.90814970,0
1680998400000,27938.38000000,28083.45000000,27924.90000000,28027.71000000,3682.55851000,1681012799999,103256263.25636130,97312,1957.27965000,54876160.89303760,0
1681012800000,28027.71000000,28067.46000000,27840.51000000,27903.02000000,5008.26881000,1681027199999,139906738.23757000,117785,2529.85756000,70667966.89807430,0
1681027200000,27903.01000000,27949.99000000,27800.00000000,27930.20000000,3470.02822000,1681041599999,96786095.44376090,93671,1663.91252000,46415007.78657400,0
1681041600000,27930.20000000,27973.39000000,27800.00000000,27891.91000000,3818.27012000,1681055999999,106496353.43429140,127631,1826.37992000,50940304.41749980,0
1681056000000,27891.91000000,28250.00000000,27876.68000000,28140.40000000,6527.39031000,1681070399999,183258062.41069400,151815,3610.57462000,101363077.29767790,0
1681070400000,28140.41000000,28530.00000000,28094.50000000,28323.76000000,10024.64504000,1681084799999,284212410.91251810,189375,5297.70330000,150191808.06406600,0
1681084800000,28323.76000000,28425.43000000,28244.18000000,28278.45000000,5372.26276000,1681099199999,152165655.49501480,122422,2698.18871000,76427515.64199530,0
1681099200000,28278.45000000,28325.43000000,28196.61000000,28284.57000000,4995.24453000,1681113599999,141178153.92206140,105145,2961.76045000,83699487.06719570,0
1681113600000,28284.57000000,28375.02000000,28275.01000000,28305.60000000,5234.32286000,1681127999999,148247870.25727250,103816,2685.45938000,76058178.02115160,0
1681128000000,28305.59000000,28575.04000000,28170.00000000,28439.38000000,10137.40167000,1681142399999,287346546.19666310,193017,5248.26249000,148784572.06861980,0
1681142400000,28439.39000000,29380.00000000,28356.51000000,29173.06000000,27035.28756000,1681156799999,784702706.54737020,474950,14405.16713000,417943350.88966690,0
1681156800000,29173.05000000,29770.00000000,29069.10000000,29637.34000000,14979.54282000,1681171199999,441660010.75244850,286345,8148.78510000,240225583.90298320,0
1681171200000,29637.35000000,30430.00000000,29590.00000000,30115.95000000,20828.19269000,1681185599999,625055720.93056450,389447,11443.21158000,343356768.81151420,0
1681185600000,30115.95000000,30169.14000000,29800.00000000,30106.89000000,10285.50672000,1681199999999,308990782.89012350,207121,5073.51527000,152438594.09644350,0
1681200000000,30106.90000000,30147.38000000,29974.00000000,30055.15000000,7339.48746000,1681214399999,220730844.45404130,151922,3453.22940000,103855037.95956890,0
1681214400000,30055.14000000,30280.00000000,29975.00000000,30194.22000000,11314.16156000,1681228799999,340918024.57294100,220845,5570.85444000,167875428.62088580,0
1681228800000,30194.23000000,30550.00000000,30040.00000000,30130.02000000,10970.16011000,1681243199999,331757846.72774080,223433,5556.58726000,168087509.55846380,0
1681243200000,30130.02000000,30274.19000000,29940.00000000,30200.42000000,7252.56767000,1681257599999,218625058.50670650,147690,3669.52923000,110637283.24658060,0
1681257600000,30200.43000000,30350.07000000,29811.82000000,29922.04000000,11394.97178000,1681271999999,342268958.48073160,229283,5520.80814000,165847303.76316130,0
1681272000000,29922.04000000,30070.42000000,29850.00000000,29987.00000000,6069.48422000,1681286399999,181771973.84102010,131988,3184.27717000,95370356.85213660,0
