1631664000000,47103.28000000,47470.00000000,46938.22000000,47075.48000000,6911.96233000,1631678399999,325880891.22713640,213561,3439.09170000,162147440.38157100,0
1631678400000,47075.47000000,47221.54000000,46682.32000000,47172.84000000,5207.34790000,1631692799999,244609480.96329160,147592,2392.24582000,112376755.77337400,0
1631692800000,47172.84000000,47699.00000000,47013.00000000,47560.74000000,8309.40418000,1631707199999,393484314.67475490,201628,4209.46588000,199332081.50191090,0
1631707200000,47560.74000000,48370.31000000,47282.79000000,48288.00000000,10871.62302000,1631721599999,520022902.65175460,268931,5249.94570000,251152853.27228030,0
1631721600000,48287.99000000,48429.87000000,47835.36000000,48075.44000000,6856.36970000,1631735999999,329929840.83259200,189620,3138.35110000,150998613.75036610,0
1631736000000,48075.44000000,48500.00000000,47900.00000000,48121.41000000,5048.00461000,1631750399999,243068968.49443220,154718,2474.43515000,119190569.06790880,0
1631750400000,48121.40000000,48192.06000000,47337.58000000,47615.08000000,6407.16725000,1631764799999,306228300.56264110,178445,3014.55842000,144080125.59841750,0
1631764800000,47615.07000000,48557.00000000,47583.11000000,48343.52000000,7276.32651000,1631779199999,351233991.10936210,184955,3829.45543000,184826735.78195010,0
1631779200000,48343.52000000,48356.01000000,47623.00000000,47895.01000000,6226.87578000,1631793599999,298944322.87764110,179963,2801.22268000,134484646.45355000,0
1631793600000,47895.01000000,48226.38000000,47211.35000000,48020.24000000,9701.90295000,1631807999999,463206039.78086080,274709,4756.61708000,227103915.92694920,0
1631808000000,48020.24000000,48166.66000000,47269.00000000,47430.01000000,5841.94413000,1631822399999,278705216.65485940,185659,2864.47624000,136636751.94117720,0
1631822400000,47430.00000000,47942.41000000,47021.10000000,47737.82000000,5270.87233000,1631836799999,250129361.92535330,172398,2641.46166000,125370807.10985770,0
1631836800000,47737.81000000,48094.26000000,47450.44000000,47899.83000000,4491.37281000,1631851199999,214818427.29146750,148626,2248.29006000,107545885.51671040,0
1631851200000,47899.83000000,48150.00000000,47652.51000000,47719.73000000,4715.21167000,1631865599999,226062616.25190270,165992,2339.03738000,112151343.95696070,0
1631865600000,47719.73000000,47989.20000000,47278.90000000,47403.56000000,7268.21283000,1631879999999,346226744.11751820,222867,3344.18293000,159290877.01147960,0
1631880000000,47403.56000000,47656.35000000,47126.10000000,47527.52000000,5877.18909000,1631894399999,278548773.84561480,172071,2895.48443000,137226582.27545190,0
1631894400000,47527.52000000,47730.00000000,46750.47000000,47501.68000000,6326.06222000,1631908799999,298739118.38920980,172227,2994.89298000,141416847.86868990,0
1631908800000,47501.68000000,47578.94000000,46699.56000000,47299.98000000,5783.87914000,1631923199999,272726369.51712470,152185,2777.57384000,130931907.78405520,0
1631923200000,47299.98000000,47987.49000000,47035.56000000,47924.57000000,4564.24787000,1631937599999,217012345.13425320,137001,2307.16806000,109715345.05465580,0
1631937600000,47924.57000000,48843.20000000,47919.91000000,48622.01000000,8849.32858000,1631951999999,428990164.39130950,244382,4640.78548000,224933862.02937190,0
1631952000000,48622.01000000,48824.54000000,48315.00000000,48367.16000000,4347.69693000,1631966399999,211358781.06201080,140422,2034.22595000,98906510.52723980,0
1631966400000,48367.16000000,48680.00000000,48249.16000000,48414.99000000,4221.61261000,1631980799999,204513738.16997180,139368,2125.59618000,102972494.74264600,0
1631980800000,48414.99000000,48518.99000000,48062.63000000,48266.00000000,4165.11167000,1631995199999,200995027.01457760,151151,1977.49247000,95415356.02070840,0
1631995200000,48266.00000000,48369.37000000,47800.51000000,48292.74000000,4758.47272000,1632009599999,228591572.17929960,164022,2134.63673000,102532687.72488530,0
1632009600000,48292.75000000,48372.83000000,47591.83000000,47844.88000000,4170.98666000,1632023999999,199905735.34134960,129771,1861.39842000,89198476.43609940,0
1632024000000,47844.88000000,48218.97000000,47763.85000000,48157.70000000,3117.57714000,1632038399999,149601268.65683450,98382,1596.14704000,76581358.47147480,0
1632038400000,48157.70000000,48333.00000000,47180.32000000,47327.73000000,5995.99762000,1632052799999,287006653.51090400,182283,2725.84337000,130459398.88124400,0
1632052800000,47327.73000000,47770.00000000,47069.01000000,47646.72000000,6346.43387000,1632067199999,300881732.28589580,174413,3266.65794000,154870332.73852600,0
1632067200000,47646.71000000,47785.00000000,47287.91000000,47376.72000000,5378.87167000,1632081599999,255749683.96816620,154484,2672.13581000,127029493.26931040,0
1632081600000,47376.72000000,47666.01000000,46829.18000000,47241.75000000,4837.37653000,1632095999999,228497805.73005610,170452,2224.61721000,105110674.27552820,0
1632096000000,47241.75000000,47347.25000000,45100.00000000,45542.76000000,11683.83842000,1632110399999,540285979.59099030,301073,5191.90244000,240111367.04768830,0
1632110400000,45542.75000000,45836.85000000,44444.00000000,44824.89000000,9579.41183000,1632124799999,434160454.84968710,232884,4333.93242000,196525762.18090820,0
1632124800000,44830.01000000,45295.00000000,43240.33000000,43739.75000000,15247.64765000,1632139199999,677510783.16771270,364783,6950.90658000,309157226.30856530,0
1632139200000,43734.00000000,44135.00000000,42500.00000000,43844.88000000,22074.61423300,1632153599999,960796933.20570643,473289,10011.47182100,435967436.09520080,0
1632153600000,43844.88000000,44250.00000000,42888.00000000,43850.25000000,10676.93011000,1632167999999,465777159.83069170,255163,5386.79106000,234958989.85032090,0
1632168000000,43850.26000000,43968.67000000,42551.11000000,43015.62000000,8741.08220000,1632182399999,378607963.65528270,215039,4233.35863000,183386967.08334360,0
1632182400000,43016.64000000,43111.00000000,40200.00000000,42683.01000000,20365.74735300,1632196799999,853494901.86830753,443180,8751.73911700,367275420.56097720,0
1632196800000,42683.02000000,43340.00000000,42172.24000000,43301.07000000,8293.19432000,1632211199999,354149710.32356570,190547,3840.29328000,164026105.20265800,0
1632211200000,43301.08000000,43639.00000000,43050.00000000,43288.97000000,7323.01912000,1632225599999,317034684.98307660,187925,3485.55769000,150928045.07241400,0
1632225600000,43288.97000000,43550.00000000,42146.13000000,43072.81000000,11221.80392000,1632239999999,481504776.99061340,232576,5340.15398000,229179429.60032560,0
1632240000000,43072.81000000,43295.66000000,41502.00000000,42013.63000000,13878.37868000,1632254399999,586575986.00008910,290297,6720.28498000,284106763.47086730,0
1632254400000,42010.81000000,42331.87000000,39600.00000000,40734.38000000,23451.93709200,1632268799999,959237726.52470293,476196,10804.71451300,442284564.59664105,0
1632268800000,40734.09000000,42420.75000000,40565.39000000,42052.09000000,13526.93267000,1632283199999,563399928.59971950,247569,6572.12579000,273582411.10359660,0
1632283200000,42055.55000000,42749.40000000,41820.01000000,42540.00000000,7657.75003000,1632297599999,323163762.77805570,171329,3737.42588000,157737187.41889090,0
1632297600000,42541.23000000,42618.55000000,41841.46000000,41928.32000000,6889.14338000,1632311999999,290869426.60190100,178188,3267.22742000,137959763.47638600,0
1632312000000,41928.31000000,43296.00000000,41874.65000000,43222.96000000,10768.58855000,1632326399999,458225414.43234240,230020,5861.96485000,249479541.18094300,0
1632326400000,43222.96000000,44000.55000000,42855.01000000,43384.90000000,13704.78238000,1632340799999,595042195.06037080,324151,6784.28569000,294677328.20492190,0
1632340800000,43384.93000000,43673.42000000,43006.00000000,43543.61000000,5801.85841000,1632355199999,251938744.43520650,152754,3098.47697000,134590851.80560260,0
1632355200000,43546.37000000,44191.42000000,43069.09000000,44074.57000000,7741.41519000,1632369599999,337581786.48151930,209924,3972.60662000,173263060.46114840,0
1632369600000,44074.58000000,44386.60000000,43685.80000000,44229.99000000,6362.42260000,1632383999999,280253599.01954060,173320,3154.52385000,138969265.04862450,0
1632384000000,44229.99000000,44297.25000000,43361.00000000,43648.15000000,8152.76247000,1632398399999,357318858.21262890,191472,4002.90067000,175477964.83419610,0
1632398400000,43648.15000000,44258.11000000,43394.00000000,43747.63000000,9131.24163000,1632412799999,400643377.43496090,229515,4594.60444000,201618690.66901740,0
1632412800000,43747.63000000,44936.77000000,43602.00000000,44767.57000000,10931.03585000,1632427199999,486311478.73403400,242080,5652.92970000,251421360.44396650,0
1632427200000,44767.56000000,44978.00000000,44358.00000000,44865.26000000,6380.69881000,1632441599999,285102205.59940540,149795,3125.43837000,139654158.10800420,0
1632441600000,44865.26000000,44978.53000000,44205.00000000,44283.03000000,7011.65212000,1632455999999,312537931.05190100,177233,3311.14742000,147582169.63735030,0
1632456000000,44283.04000000,45200.00000000,43889.64000000,44818.46000000,10084.45999200,1632470399999,448306023.50067882,235247,5116.97141200,227613498.54531842,0
1632470400000,44818.46000000,45075.00000000,40675.00000000,41527.50000000,33100.37868000,1632484799999,1409494288.57308800,666662,16693.46518000,710910050.66561650,0
1632484800000,41527.50000000,42679.93000000,40843.82000000,41944.01000000,20639.50633000,1632499199999,862290328.58446970,371448,10100.69784000,422390125.62671040,0
1632499200000,41944.00000000,42533.47000000,41742.01000000,42371.43000000,6655.70748000,1632513599999,280388498.28953830,189595,3306.38787000,139306011.57789210,0
1632513600000,42371.43000000,43200.00000000,42303.78000000,42810.57000000,6621.72169000,1632527999999,283701161.05087280,179559,3424.10686000,146709107.72689370,0
1632528000000,42810.58000000,42950.00000000,42024.54000000,42608.11000000,6133.28700000,1632542399999,260831831.58944050,153895,3002.29802000,127679784.70334550,0
1632542400000,42608.11000000,42860.94000000,42206.43000000,42372.02000000,4331.38383000,1632556799999,184465234.57271570,134512,2094.38615000,89209006.31609930,0
1632556800000,42369.52000000,42966.84000000,41646.28000000,42485.03000000,9016.89021000,1632571199999,382385024.54432520,228248,4342.13283000,184190092.74507450,0
1632571200000,42485.03000000,42765.54000000,42156.33000000,42669.96000000,6500.17226000,1632585599999,276127437.89296350,171296,3410.63855000,144903515.20009050,0
1632585600000,42669.97000000,42813.34000000,42348.39000000,42665.95000000,4643.97139000,1632599999999,197827124.81029590,135571,2326.74049000,99136901.43854790,0
1632600000000,42665.95000000,42808.29000000,42375.00000000,42670.64000000,2968.86720000,1632614399999,126602094.79978500,126265,1379.53346000,58828670.98011830,0
1632614400000,42670.63000000,42735.05000000,41904.02000000,42212.40000000,6281.36443000,1632628799999,265599190.27899040,168845,2838.90894000,120008816.08699630,0
1632628800000,42212.41000000,42302.79000000,40750.00000000,41231.34000000,8923.43529000,1632643199999,371129057.32431630,221347,4133.07114000,171947602.46370700,0
1632643200000,41227.07000000,43746.90000000,41037.13000000,43063.57000000,16196.41116000,1632657599999,688091844.24484570,374930,8422.67204000,357746982.10697210,0
1632657600000,43063.57000000,43467.22000000,43063.57000000,43343.73000000,6836.45864000,1632671999999,295897909.05394070,207824,3481.33572000,150680534.09506470,0
1632672000000,43343.73000000,43543.99000000,43078.33000000,43252.54000000,5061.38959000,1632686399999,218886298.47479430,193184,2476.69591000,107106044.06015150,0
1632686400000,43255.32000000,43950.00000000,42673.67000000,43160.90000000,6580.93854000,1632700799999,285052779.90288910,208015,3410.06072000,147735813.31569420,0
1632700800000,43160.90000000,44350.00000000,42933.00000000,44038.75000000,7631.49537000,1632715199999,334769526.82602210,186200,3952.15738000,173361543.24773730,0
1632715200000,44038.74000000,44250.00000000,43662.00000000,43688.03000000,5042.54367000,1632729599999,221651395.82181910,127694,2487.73771000,109379749.59378160,0
1632729600000,43685.34000000,44129.28000000,43367.57000000,43747.69000000,6312.56101000,1632743999999,276191465.04528840,154135,3093.31335000,135367247.34860000,0
1632744000000,43747.68000000,44089.75000000,43045.53000000,43293.26000000,8097.29964000,1632758399999,351428182.15863600,211560,3906.03129000,169580034.58596260,0
1632758400000,43293.27000000,43416.42000000,42850.00000000,43011.82000000,6042.74948000,1632772799999,260514537.67937040,160840,2711.22578000,116883033.40115700,0
1632772800000,43011.82000000,43400.00000000,42098.00000000,42147.35000000,6650.19466000,1632787199999,284357192.27228830,161058,3157.38795000,135014374.21346960,0
1632787200000,42147.35000000,42703.65000000,41942.00000000,42558.40000000,6135.42718000,1632801599999,259880829.70844030,144714,2963.32604000,125562067.98887930,0
1632801600000,42558.41000000,42787.38000000,41650.00000000,41775.25000000,6587.71759000,1632815999999,278111346.55313340,160520,2996.13369000,126459238.91030300,0
1632816000000,41777.79000000,42174.26000000,41514.12000000,42101.49000000,8390.10412000,1632830399999,351210241.03459820,179651,4104.19005000,171819293.25584770,0
1632830400000,42105.61000000,42593.69000000,41278.49000000,41447.18000000,10870.85097000,1632844799999,454595867.21428100,258992,5249.21217000,219481217.96705660,0
1632844800000,41447.18000000,41763.97000000,41115.00000000,41601.99000000,6244.97250000,1632859199999,258805494.50906640,161404,3007.97910000,124666274.53907650,0
1632859200000,41601.80000000,42017.33000000,40888.00000000,41026.54000000,5143.19004000,1632873599999,213701608.81933890,140108,2389.24925000,99318779.55128240,0
1632873600000,41025.01000000,42274.76000000,40753.88000000,42199.99000000,7546.17963000,1632887999999,313533837.23527220,169610,3743.45109000,155572502.40380430,0
1632888000000,42199.99000000,42476.26000000,42000.00000000,42450.25000000,3870.25890000,1632898799999,163520851.61423940,95445,1997.93245000,84418105.78438740,0
1632902400000,42442.00000000,42500.00000000,42000.00000000,42399.98000000,4019.72227000,1632916799999,170091662.75805140,118617,2005.96211000,84891046.46531310,0
1632916800000,42399.98000000,42590.00000000,41619.99000000,41698.98000000,7424.90548000,1632931199999,312476956.51322670,194183,3391.91428000,142756483.77416160,0
1632931200000,41698.97000000,41824.01000000,41052.40000000,41207.86000000,5907.52309000,1632945599999,244634271.90360010,178663,2911.75750000,120583744.55735880,0
1632945600000,41207.87000000,41580.67000000,40900.00000000,41524.28000000,4742.94550000,1632959999999,195367896.03198650,128391,2287.40917000,94244459.80203340,0
1632960000000,41524.29000000,43729.68000000,41410.17000000,43591.23000000,10700.82651000,1632974399999,458350766.77781370,239051,5579.68121000,238966636.28578830,0
1632974400000,43591.24000000,43830.00000000,43217.16000000,43286.88000000,5896.65545000,1632988799999,256632944.70361460,172787,2734.04811000,118995197.66078160,0
1632988800000,43286.88000000,43446.77000000,42697.01000000,43072.29000000,7385.82971000,1633003199999,318087829.79291670,164189,3681.20536000,158592164.14274590,0
1633003200000,43072.29000000,43777.00000000,42850.00000000,43149.02000000,9589.71375000,1633017599999,414890602.80751220,234625,4858.44157000,210244173.10031030,0
1633017600000,43149.02000000,44141.37000000,42819.86000000,43532.31000000,8533.13649000,1633031999999,371065092.56325950,235981,4457.08300000,193985027.29668100,0
1633032000000,43532.32000000,43915.89000000,43100.00000000,43824.10000000,4275.06590000,1633046399999,186458766.91956060,151182,2038.48049000,88904749.73952650,0
